ID,Female,Age,Temp_Ishin
1551,1,65,NA
1552,0,54,NA
1553,1,29,50
1554,0,66,NA
1555,1,78,70
1556,1,29,0
1557,1,42,50
1558,0,60,20
1559,1,56,60
1560,0,63,70
1561,0,55,40
1562,0,51,70
1563,1,70,NA
1564,1,71,50
1565,0,27,90
1566,1,49,60
1567,0,51,NA
1568,0,55,50
1569,1,55,NA
1570,0,63,0
1571,1,72,70
1572,0,72,40
1573,1,46,NA
1574,1,63,0
1575,1,26,0
1576,1,18,NA
1577,0,71,50
1578,1,41,NA
1579,1,40,50
1580,1,24,NA
1581,0,67,60
1582,1,33,NA
1583,0,48,NA
1584,1,28,0
1585,0,28,10
1586,0,48,60
1587,0,71,NA
1588,1,36,10
1589,0,36,60
1590,0,20,40
1591,1,70,60
1592,1,26,60
1593,0,48,NA
1594,0,58,60
1595,0,24,60
1596,0,30,50
1597,1,71,20
1598,1,47,0
1599,1,42,0
1600,1,18,50
1601,0,45,NA
1602,1,36,50
1603,1,51,60
1604,0,50,40
1605,0,67,40
1606,1,26,NA
1607,1,27,NA
1608,0,68,40
1609,0,34,NA
1610,0,29,50
1611,1,45,NA
1612,0,25,30
1613,1,55,20
1614,0,53,40
1615,0,60,0
1616,1,52,60
1617,0,44,80
1618,1,29,NA
1619,0,42,NA
1620,0,29,0
